id_retalt;nom_ouv;volume_m3;confinement;annee_construction;classement;departement;surface_m2;surface_sig_m2;altitude_sig_m;type_ouvrage;ce500;ce2000;pe500;pe2000
138;Golf;27000;aucun;2006;NA;74;7000;7391;1512.54545454545;retenue_altitude;0;6355.48676092553;0;9113.29999998422
139;Avoriaz Lac 1730;64000;partiel;1990;NA;74;NA;16869;1730.2962962963;lac_rehausse;0;5095.43937274022;40087.8749999831;40087.8749999831
140;Prolays;45000;aucun;1998;NA;74;6450;6178;1592.55555555556;retenue_altitude;1238.47228829349;6008.33766118094;0;39779.886648037
141;Plaine Dranse;8000;aucun;1996;NA;74;1600;2031;1475;retenue_altitude;0;7500.27725152279;0;16295.439999956
142;Queyset;130000;aucun;2010;NA;74;19000;18112;1658.24137931034;retenue_altitude;1470.34459278346;11312.452007973;0;0
143;Vonnes;80000;naturel;1900;NA;74;NA;21152;1239.03703703704;lac_rehausse;0;9875.42679263578;0;20739.4700000373
144;Sagy;32000;aucun;2007;NA;74;6000;6110;1109.1;retenue_altitude;1986.16500327172;11000.7538844604;0;0
145;Esserts Fremoux;3100;aucun;1990;NA;74;500;1224;1457;retenue_altitude;1064.55718128304;11417.7266035599;0;1686.71499998763
146;Pellys Pre Richard;2500;partiel;1995;NA;74;NA;1421;1334;retenue_altitude;408.593098628558;8086.2166313664;0;5852.88000009687
147;Memises 1;6000;aucun;1994;NA;74;NA;1343;1635.62842951793;retenue_altitude;0;6978.22283091723;0;0
148;Merdassier;10000;aucun;2005;NA;74;3600;4201;1576.6;retenue_altitude;0;7217.60859714678;0;10493.3099999799
149;Veret;110000;total;2017;NA;74;22000;19596;2009.59375;retenue_altitude;0;5625.02358655492;0;31719.2649999923
150;Socqua;35000;total;2018;NA;74;NA;8859;1734.38461538462;retenue_altitude;1269.21763575737;10500.3320303341;0;31719.2649999923
151;Cret Beni;45000;partiel;2012;NA;74;9700;10357;1392.0625;retenue_altitude;0;5530.05369159949;0;0
152;Braitaz;440;partiel;NA;NA;74;100;220;1385;barrage_cours_eau;1042.11233069578;14013.4345875751;0;29553.7899999209
153;Vivier Nord;3800;naturel;2016;NA;74;3600;3212;944;lac_creuse;1689.33915631508;11560.1556882589;0;0
154;Pertuis;100000;NA;NA;NA;74;15000;7284;1362;projet;1145.09666015283;9832.58622044506;0;0
155;Col de la Ramaz;46000;partiel;2015;NA;74;10900;11091;1607.9375;retenue_altitude;0;6222.30999508017;0;31864.8648497515
156;Chery;5750;total;2015;NA;74;2366;2574;1495.25;retenue_altitude;0;8439.19841859245;0;9113.29999998422
157;Renardiere;76775;aucun;2019;NA;74;14215;13007;1496.90476190476;retenue_altitude;586.800557020349;13437.4195032498;0;24050.9999999785
158;Granges Pagnoud;50000;aucun;2010;NA;74;7970;8066;1240.42857142857;retenue_altitude;0;1974.43681693292;0;0
159;Habere Poche;5800;partiel;2010;NA;74;4800;2629;944.666666666667;retenue_altitude;1065.12107817807;10492.4944316744;0;0
160;Fornet;78000;aucun;2012;NA;74;9970;12240;1991.4375;retenue_altitude;0;3375.09632595646;0;40087.8749999831
161;Mont d Arbois;60000;partiel;2012;NA;74;11000;10829;1516.73684210526;retenue_altitude;1226.62235439315;11958.6266242564;0;0
174;Maroly;300000;total;2007;NA;74;29825;32969;1660;retenue_altitude;0;7450.50955870879;0;0
175;Chavant;25000;partiel;NA;NA;74;8500;8737;1005;retenue_altitude;2160.15891468568;15615.5476781285;0;1113.67499998846
176;Joux;35600;partiel;NA;NA;74;7670;7723;1842;retenue_altitude;584.171286478949;10452.226204691;0;0
